Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Kafka,2025 Winter Quarter,Undergraduate,Student Option,30589,Lecture,In Person,5 units,TA,Closed,0,32,33,0,0,"An intensive study of the works of Franz Kafka, with reference to the literary, social, and historical context in which his work emerged. Course topic changes; please see the Class Search for current topic. (Formerly Kafka in Translation.)May be repeated for credit.",,"The course maps the development of themes and correspondences in Kafka?s work; for example, its preoccupation with the status of law, with the relationship between language and the body, and the borderline between the human and the animal. In tracing these aspects of Kafka?s oeuvre, we will also attend to questions of literary form and language, marking points of tension that arise through the act of translation as well as the questions that arise from the fragmentary character of many of Kafka?s texts. Finally, we will want to contextualize all of this, not so much into a reconstruction of Kafka?s biography, but of the figure of Kafka (as a Jewish writer producing texts in German in fin de siecle Prague) and of his work as a site where identity, genre, language, and social life are called into question in complex and often contradictory ways. This course positions Kafka less as a writer at the margins, than as a writer of the margins of modern European experience.","Days & Times: TuTh 11:40AM-01:15PM, Room: J Baskin Engr 165, Instructor: Bivens,A.H., Dates: 01/06/25 - 03/14/25",
Old Iranian Literature,2025 Winter Quarter,Undergraduate,Student Option,30679,Lecture,In Person,5 units,CC,Closed,4,,36,0,0,"The pre-Islamic literature of Iran is one of the world?s richest literary traditions, and forms part of the Indo-European poetic heritage. Course offers an overview of and introduction to indigenous Iranian literary traditions. The course topic changes; see the Class Search for the current topic. Critical approach designations: Canons, Histories. Distribution requirements: Global, Poetry, Pre-1750.",,,"Days & Times: MWF 10:40AM-11:45AM, Room: Crown Clrm 208, Instructor: Devecka,M.J., Dates: 01/06/25 - 03/14/25",
"Poe, Past and Present",2025 Winter Quarter,Undergraduate,Student Option,33065,Seminar,In Person,5 units,TA,Closed,0,32,32,0,0,"Who was Edgar Allan Poe, and who do we imagine him to be? This course considers popular culture?s longstanding obsession with Poe?s life, death, and writing. Discusses why Poe has lived on in popularity to this day, and how depictions of him have been influenced by his own stories and the stories of others, taking up his legacy. Distribution requirement: Poetry.",,,"Days & Times: MWF 01:20PM-02:25PM, Room: McHenry Lib 1340, Instructor: Sprott,Z.E., Dates: 01/06/25 - 03/14/25",
Ancient Literature in Cross-Cultural Perspective,2025 Winter Quarter,Undergraduate,Student Option,30582,Lecture,In Person,5 units,CC,Open,24,96,72,0,0,"Comparative approaches to the study of ancient literature and culture. Topic changes; see the Class Search for current topic. Critical approach designations: Geographies, Histories. Distribution requirement: Global, Pre-1750. May be repeated for credit.",,"Enroll in lecture and associated discussion section. >>> MYTHS BY AND ABOUT WOMEN | MODERN ADAPTATIONS <<< This course explores the reception of women in myth across the ancient Near East and Mediterranean world. Using myth as a focal point for examining cross-cultural gender norms, students will examine ancient constructions of gender and sexuality in myth contextualized within the larger cultural landscape through excerpts of ancient philosophy, history, science, and law. Students will read ancient literature in translation alongside important contemporary scholarship and modern adaptations to develop an understanding of the cultural specificity of gender and sexuality. Students will read poetry by Enheduana, Sappho, Erinna, explore myths about the Amazons, awesome goddesses, powerful proto-trans characters, and ancient #MeToo myths from the ancient Near East and Mediterranean.","Days & Times: MW 05:20PM-06:55PM, Room: Merrill Acad 102, Instructor: Thomas,T.N., Dates: 01/06/25 - 03/14/25","#30588 DIS 01A, W 12:00PM-01:05PM, Race,T., Loc: PhysSciences 130, Enrl: 17 / 32, Wait: 0 / 0, Open; #30587 DIS 01B, Tu 01:30PM-02:35PM, Viebahn,W.J., Loc: McHenry Lib 1340, Enrl: 26 / 32, Wait: 0 / 0, Open; #33111 DIS 01C, M 02:40PM-03:45PM, Arias,D., Loc: Cowell Clrm 131, Enrl: 29 / 32, Wait: 0 / 0, Open"
Beat Literature and the World,2025 Winter Quarter,Undergraduate,Student Option,30586,Lecture,In Person,5 units,TA,Open,2,32,30,0,0,"Explores the sources and context of Beat writing, emphasizing the Beats' intense interest in and engagement with the world at large. Includes works by major and minor Beat writers. Critical approach designations: Geographies, Power and Subjectivities. Distribution requirement: Poetry.",,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Steven Acad 175, Instructor: Wilson,R.J., Dates: 01/06/25 - 03/14/25","#30585 DIS 01A, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #30584 DIS 01B, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Cinema and Subjectivity,2025 Winter Quarter,Undergraduate,Student Option,30581,Lecture,In Person,5 units,IM,Open,7,32,25,0,0,"An examination of the ways in which the technological and institutional practices of cinema construct modes of modern and contemporary subjectivity. Course topic changes; please see the Class Search for current topic. Critical approach designations: Media, Power and Subjectivities. Distribution requirement: Global. May be repeated for credit.",,"Course Topic: International Film - This course invites students to learn about the fundamental revolutionary dynamics of the twentieth century through the cinema, itself a revolutionary medium. Defined as it was by the fact of the Soviet Union (1922-1991) and the presence of socialist politics in various locations of a decolonizing world, the last century gave rise to artistic experiments in new media to further articulate and inspire a revolutionary subjectivity. What was this subjectivity and how did it come into being? How did it see and transform the objective environment? What were its parameters, zones of influence, gender, race, or sexual politics? How did it understand the individual, traditional communities, and emergent masses, and what were the relations between these various scales of historical experience? This course argues that only a wide global approach to cinematic culture can suffice to answer these questions. Films from the USSR, Mexico, Algeria, Argentina, Italy, India, Germany, Cuba, Senegal, and Turkey will be screened and students will learn about the aesthetic forms that defined revolutionary art in this period. Readings will combine history, philosophy, fiction, and theory.","Days & Times: TuTh 11:40AM-01:15PM, Room: Earth&Marine B210, Instructor: Sahota,G.S., Dates: 01/06/25 - 03/14/25",
Cinema in India,2025 Winter Quarter,Undergraduate,Student Option,30580,Lecture,In Person,5 units,IM,Open,13,32,19,0,0,"Examines cinema in India from the silent era to the contemporary production of Bollywood films. Attention is given to the rise of the culture industry in urban centers such as Mumbai, and the dialectical relationship between socio-political change and cultural form. Critical approach designations: Geographies, Media. Distribution requirement: Global.",,"Course Topic: Satyajit Ray and the Cinema of Modernity - Satyajit Ray has been hailed as one of the greatest film directors of the twentieth century and a major exponent of cinematic modernism in India. Yet it is only in recent times that his work has begun to receive critical attention in film theory and criticism. We will take cues from this scholarship and explore the question of modernity as seen through Ray?s cinematic lens. Attention will be given to the historical genesis of modern tensions and conflicts that Ray engaged with, including the deepening divides between colonialism and nationalism, casteism and humanism, the country and the city, superstition and medical science, and traditional masculinity and the assertion of feminism. We will have opportunity to explore the literary, musical, theatrical and general cultural background of Ray?s films, exploring especially the translation of literary texts into the cinematic medium. Students will also be required to gain familiarity with the concepts and vocabulary of film and media studies, as well as relevant facets of the intellectual history of modern India.","Days & Times: TuTh 09:50AM-11:25AM, Room: Earth&Marine B210, Instructor: Sahota,G.S., Dates: 01/06/25 - 03/14/25",
Reading the Weather: Literature and Global Climate Change,2025 Winter Quarter,Undergraduate,Student Option,32779,Lecture,In Person,5 units,PE-E,Open,1,32,31,0,0,"An overview of climate change and its representations in literary and filmic texts. Asks how climate fiction and non-fiction narratives of climate change can help us to confront issues of environmental justice, inequalities of race and class, vulnerability, land rights, and refugeehood. Critical approach designations: Geographies, Power and Subjectivities. Distribution requirement: Global.",,"In this course, we will examine works of literature and film from around the world to engage their perspectives on anthropogenic climate change. Key questions will include: How do these thinkers diverge from US-centric perspectives? What is the value of learning from Indigenous and local knowledges about climate change? How can humanistic texts complement scientific ways of knowing? The course will emphasize how works of literature and film historicize the concept of catastrophe, represent shifting everyday realities, and imagine speculative climate futures.","Days & Times: TuTh 11:40AM-01:15PM, Room: Steven Acad 175, Instructor: Cole,H.R., Dates: 01/06/25 - 03/14/25","#33109 DIS 01A, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #33110 DIS 01B, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Creation and its Discontents: From the Human to the Posthuman,2025 Winter Quarter,Undergraduate,Student Option,33066,Lecture,In Person,5 units,TA,Open,11,96,85,0,0,"Explores the trajectory of creation from the birth of humankind to the advent of the posthuman. Beginning with God?s creation of humans in the Garden of Eden, we turn to Frankenstein?s creation of the ?human? at the advent of modern science, and finally technology?s creation of the posthuman in the modern age. What defines the human? How do we determine the difference between the human and nonhuman? How does the nonhuman help us to understand ourselves? What is the relationship between creator and created, and what obligations does the creator have to its creation? Distribution requirements: Poetry, Pre-1750.",,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 01:30PM-03:05PM, Room: Merrill Acad 102, Instructor: Heald,A., Dates: 01/06/25 - 03/14/25","#33067 DIS 01A, Tu 07:10PM-08:15PM, Marshall,S.R., Loc: Cowell Acad 113, Enrl: 26 / 32, Wait: 0 / 0, Open; #33068 DIS 01B, W 12:00PM-01:05PM, O'Hara,A.C., Loc: Cowell Acad 113, Enrl: 32 / 32, Wait: 0 / 0, Closed; #33069 DIS 01C, Th 09:50AM-10:55AM, Multer,M.L., Loc: Merrill Acad 130, Enrl: 27 / 32, Wait: 0 / 0, Open"
Advanced Writing: Fiction,2025 Winter Quarter,Undergraduate,Student Option,31955,Seminar,In Person,5 units,PR-C,Closed,0,22,22,0,0,Intensive work in writing fiction. Critical approach designation: Genres. May be repeated for credit.,Enrollment is restricted to creative writing literature majors.,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Cowell Acad 223, Instructor: Sanders-Self,M.L., Dates: 01/06/25 - 03/14/25; Days & Times: Th 05:20PM-06:55PM, Room: Humn Lecture Hall, Instructor: Sanders-Self,M.L., Dates: 01/06/25 - 03/14/25",
Advanced Writing: Poetry,2025 Winter Quarter,Undergraduate,Student Option,31952,Seminar,In Person,5 units,,Closed,0,22,23,0,0,Intensive work in writing poetry. Critical approach designation: Genres. May be repeated for credit.,Enrollment is restricted to creative writing literature majors.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Cowell Acad 223, Instructor: Young,G.E., Dates: 01/06/25 - 03/14/25; Days & Times: Th 05:20PM-06:55PM, Room: Humn Lecture Hall, Instructor: Young,G.E., Dates: 01/06/25 - 03/14/25",
Methods and Materials,2025 Winter Quarter,Undergraduate,Student Option,32293,Seminar,In Person,5 units,PR-C,Open,5,22,17,0,0,Focuses on a particular process or subject used in the production of a literary text. Course is intended to work as a bridge between invention and scholarship. Course topic changes; please see the Class Search for current topic. May be repeated for credit.,,Topic: Journalism,"Days & Times: MW 05:20PM-06:55PM, Room: McHenry Lib 1340, Instructor: Kleinberg Biehl,J., Dates: 01/06/25 - 03/14/25; Days & Times: Th 05:20PM-06:55PM, Room: Humn Lecture Hall, Instructor: Kleinberg Biehl,J., Dates: 01/06/25 - 03/14/25",
Prose Authors,2025 Winter Quarter,Undergraduate,Student Option,32469,Seminar,In Person,5 units,,Open,16,20,4,0,0,"Reading proficiency in Ancient Greek required. Course topic changes; see Class Search for the current topic. Critical approach designations: Canons, Genres. Distribution requirement: Pre-1750. May be repeated for credit.",Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements.,Topic: Koine,"Days & Times: TuTh 11:40AM-01:15PM, Room: Cowell Com 239, Instructor: Kreps,A.S., Dates: 01/06/25 - 03/14/25",
Roman Poetry,2025 Winter Quarter,Undergraduate,Student Option,30578,Seminar,In Person,5 units,,Open,15,20,5,0,0,"Reading proficiency in Latin required. Course topic changes; see the Class Search for current topic. Critical approach designations: Canons, Genres. Distribution requirements: Poetry, Pre-1750. May be repeated for credit.",Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements.,Topic: Ovid Metamorphoses,"Days & Times: TuTh 01:30PM-03:05PM, Room: Cowell Com 239, Instructor: Chew,K.J., Dates: 01/06/25 - 03/14/25",
Humanidades Ambientales,2025 Winter Quarter,Undergraduate,Student Option,30577,Lecture,In Person,5 units,PE-E,Open,18,32,14,0,0,"Considers salient aspects of environmental aesthetics and ecological thinking in Latin America in a variety of genres including memoir, children's literature, graphic literature, documentary film, and visual arts. Critical approach designations: Media, Power and Subjectivities. Distribution requirement: Global.",,,"Days & Times: TuTh 09:50AM-11:25AM, Room: McHenry Lib 1340, Instructor: Smith,A.M., Dates: 01/06/25 - 03/14/25",
Topics in Modern Literary Studies,2025 Winter Quarter,Undergraduate,Student Option,32720,Seminar,In Person,5 units,,Closed,0,0,0,0,0,Selected authors or issues in modern literary and cultural studies. Course topic changes; see the Class Search for current topic. Critical approach designation: Histories. Distribution requirement: Senior Seminar. May be repeated for credit.,Prerequisite(s): LIT 101. Enrollment is restricted to senior literature majors.,"Topic: LatinX family stories >> Unlike the bildungsroman, which highlights the development of an individual, what we?re calling a ?family story? insists that characters? choices are deeply enmeshed in, and constrained by, their kinship relations. Whether kinship is biological or chosen, the family structure cuts across boundaries between the living to the dead, stressing relationality over autonomy. Featuring work by Melissa Rivero, Junot Diaz, Gil Cuadros, Norma Cantu, and others, this seminar will sample various storytelling genres from fiction to memoir to film. Readings in narrative theory will shepherd students toward a final research project on one of those genres.","Days & Times: TuTh 01:30PM-03:05PM, Room: Soc Sci 2 159, Instructor: Gruesz,K.S., Dates: 01/06/25 - 03/14/25",
Topics in Jewish Literature and Culture,2025 Winter Quarter,Undergraduate,Student Option,32721,Seminar,In Person,5 units,,Open,15,25,10,0,0,"Study of selected authors or issues related to modern Jewish literature and culture. Topic changes; please see the Class Search for current topic. Critical approach designations: Histories, Power and Subjectivities. Distribution requirement: Senior Seminar. Jewish Studies majors may use this course to satisfy the Jewish Studies senior exit requirement. May be repeated for credit.","Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements, and LIT 101 (for literature majors). Enrollment is restricted to senior literature and Jewish studies majors.","Topic: Jewish Comedy: How can we account for the extraordinary preponderance of Jewish writers among the principal makers of modern comedy? Why do the words Jewish comedy roll trippingly off the tongue, like French cuisine or Scottish terrier? Why did Jews rely so much on comedy, humor, and wit in negotiating their transition to modernity? Which aspects of Jewish culture and experience have Jewish writers and artists drawn upon in creating their distinctive brands of comedy? Is there a single shared Jewish comic sensibility, or have there been several? Beginning with these general questions, this course surveys the work of some of the outstanding classic and contemporary Jewish comic writers: from the Yiddish comic tradition pioneered by Sholem Aleichem through successive generations of Jewish satirists, working in multiple genres (novels, short stories, memoirs, sketch comedies, cartoons, films, television series) during the twentieth and twenty-first centuries. Among them: Sholem Aleichem, Franz Kafka, Isaac Bashevis Singer, Bruno Schulz, Nora Ephron, Gary Shteyngart, Saul Steinberg, William Steig, Jules Feiffer, Roz Chast, Philip Roth, Mel Brooks, Etgar Keret, Ethan and Joel Cohen, Jerry Seinfeld and Larry David, Ilana Glazer and Abbi Jacobson.","Days & Times: MW 05:20PM-06:55PM, Room: Merrill Acad 132, Instructor: Thompson,B.A., Dates: 01/06/25 - 03/14/25",
Critical Writing Practicum,2025 Winter Quarter,Graduate,Student Option,31646,Seminar,In Person,5 units,,Open,10,15,5,0,0,"Reinforces writing and revision skills in the discipline of literary and cultural criticism and theory, covering various genres of writing in the profession. Designed for students preparing for QE or dissertation work. Workshop structure.May be repeated for credit.",Enrollment is restricted to graduate students.,,"Days & Times: M 02:00PM-05:00PM, Room: Humanities 1 620, Instructor: Kinoshita,S.A., Dates: 01/06/25 - 03/14/25",
Topics in Theory,2025 Winter Quarter,Graduate,Student Option,31956,Lecture,In Person,5 units,,Closed,0,0,0,0,0,Explores issues arising in both the modern practice of criticism and in writings on the theory of criticism. Course topic changes; please see the Class Search for current topic. May be repeated for credit.,Enrollment is restricted to graduate students.,Topic: Visual Poetics,"Days & Times: Cancelled, Room: N/A, Instructor: N/A, Dates: N/A",
Studies in Literary and Cultural History,2025 Winter Quarter,Graduate,Student Option,32296,Seminar,In Person,5 units,,Open,7,15,8,0,0,Course topic changes; see the Class Search for current topic. May be repeated for credit.,Enrollment is restricted to graduate students.,"Topic: Vampires, Werewolves, Mummies","Days & Times: M 05:20PM-08:20PM, Room: Humanities 1 620, Instructor: Fox,R.A., Dates: 01/06/25 - 03/14/25",
Studies in Antiquity,2025 Winter Quarter,Graduate,Student Option,30680,Seminar,In Person,5 units,,Open,4,,36,0,0,An in-depth study of a topic in Mediterranean and Near Eastern antiquity. May be repeated for credit.,Enrollment is restricted to graduate students.,,"Days & Times: MWF 10:40AM-11:45AM, Room: Crown Clrm 208, Instructor: Devecka,M.J., Dates: 01/06/25 - 03/14/25",
Topics in Cultural Studies,2025 Winter Quarter,Graduate,Student Option,32294,Seminar,In Person,5 units,,Open,11,15,4,0,0,The course topic changes; see the Class Search for the current topic. May be repeated for credit.,Enrollment is restricted to graduate students.,Topic: Neoliberalism,"Days & Times: Tu 04:30PM-07:30PM, Room: Humanities 1 620, Instructor: Connery,C.L., Dates: 01/06/25 - 03/14/25",
College Algebra for Calculus,2025 Winter Quarter,Undergraduate,Student Option,32308,Lecture,In Person,5 units,,Open,15,140,125,0,0,"Operations on real numbers, complex numbers, polynomials, and rational expressions; exponents and radicals; solving linear and quadratic equations and inequalities; functions, algebra of functions, graphs; conic sections; mathematical models; sequences and series.","Prerequisite(s): mathematics placement (MP) score of 100 or higher. Students may not enroll in or receive credit for MATH 2 after receiving credit with a 'C' or better in AM 3, MATH 3, AM 11A, MATH 11A, MATH 19A, MATH 20A or equivalents.","Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 09:20AM-10:25AM, Room: Humn Lecture Hall, Instructor: Hingtgen,R.L., Dates: 01/06/25 - 03/14/25","#32309 DIS 01A, M 02:20PM-03:25PM, Randell,B., Loc: McHenry Clrm 1240, Enrl: 33 / 35, Wait: 0 / 0, Open; #32310 DIS 01B, M 03:40PM-04:45PM, Randell,B., Loc: McHenry Clrm 1240, Enrl: 30 / 35, Wait: 0 / 0, Open; #30100 DIS 01C, W 02:20PM-03:25PM, Orozco,M., Loc: McHenry Clrm 1240, Enrl: 34 / 35, Wait: 0 / 0, Open; #30099 DIS 01D, W 03:40PM-04:45PM, Orozco,M., Loc: McHenry Clrm 1240, Enrl: 28 / 35, Wait: 0 / 0, Open"
Precalculus,2025 Winter Quarter,Undergraduate,Student Option,32297,Lecture,In Person,5 units,MF,Open,3,360,357,0,0,"Inverse functions and graphs; exponential and logarithmic functions, their graphs, and use in mathematical models of the real world; rates of change; trigonometry, trigonometric functions, and their graphs; and geometric series. Students cannot receive credit for both MATH 3 and AM 3.","Prerequisite(s): MATH 2 or mathematics placement (MP) score of 200 or higher. Students may not enroll in or receive credit for MATH 3 after receiving credit with a 'C' or better in AM 11A, ECON 11A, MATH 11A, MATH 19A, MATH 20A or equivalents.","Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 04:00PM-05:05PM, Room: Kresge Acad 3105, Instructor: Serboi,S., Dates: 01/06/25 - 03/14/25","#32298 DIS 01A, M 09:00AM-10:05AM, Wesley,T.G., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32299 DIS 01B, W 09:00AM-10:05AM, Wesley,T.G., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32300 DIS 01C, F 09:00AM-10:05AM, Karakas,M., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32301 DIS 01D, M 10:20AM-11:25AM, Wesley,T.G., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32302 DIS 01E, W 10:20AM-11:25AM, Packirisamy,S., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32303 DIS 01F, F 10:20AM-11:25AM, Packirisamy,S., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32304 DIS 01G, M 01:00PM-02:05PM, Coffin,L.C., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32305 DIS 01H, W 01:00PM-02:05PM, Coffin,L.C., Loc: McHenry Clrm 1257, Enrl: 34 / 36, Wait: 0 / 0, Open; #32306 DIS 01I, F 01:00PM-02:05PM, Karakas,M., Loc: McHenry Clrm 1257, Enrl: 35 / 36, Wait: 0 / 0, Open; #32307 DIS 01J, F 11:40AM-12:45PM, Packirisamy,S., Loc: McHenry Clrm 1257, Enrl: 36 / 36, Wait: 0 / 0, Closed"
Calculus with Applications,2025 Winter Quarter,Undergraduate,Student Option,32311,Lecture,In Person,5 units,MF,Open,3,150,147,0,0,"A modern course stressing conceptual understanding, relevance, and problem solving. The derivative of polynomial, exponential, and trigonometric functions of a single variable is developed and applied to a wide range of problems involving graphing, approximation, and optimization. Students cannot receive credit for both this course and MATH 19A, or AM 11A, or AM 15A, or ECON 11A.",Prerequisite(s): MATH 3 or AM 3; or mathematics placement (MP) score of 300 or higher; or AP Calculus AB exam score of 3 or higher.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 12:00PM-01:05PM, Room: Kresge Acad 3201, Instructor: Navarro,D., Dates: 01/06/25 - 03/14/25","#32312 DIS 01A, M 09:00AM-10:05AM, Kay,J., Loc: McHenry Clrm 1240, Enrl: 30 / 30, Wait: 0 / 0, Closed; #32313 DIS 01B, M 10:20AM-11:25AM, Kay,J., Loc: McHenry Clrm 1240, Enrl: 30 / 30, Wait: 0 / 0, Closed; #32314 DIS 01C, W 09:00AM-10:05AM, Dowd,C.L., Loc: McHenry Clrm 1240, Enrl: 31 / 30, Wait: 0 / 0, Closed; #32315 DIS 01D, W 10:20AM-11:25AM, Dowd,C.L., Loc: McHenry Clrm 1240, Enrl: 31 / 30, Wait: 0 / 0, Closed; #45940 DIS 01E, M 05:20PM-06:25PM, Dowd,C.L., Loc: McHenry Clrm 1240, Enrl: 25 / 30, Wait: 0 / 0, Open"
Calculus with Applications,2025 Winter Quarter,Undergraduate,Student Option,32323,Lecture,In Person,5 units,MF,Open,4,175,171,0,0,"Starting with the fundamental theorem of calculus and related techniques, the integral of functions of a single variable is developed and applied to problems in geometry, probability, physics, and differential equations. Polynomial approximations, Taylor series, and their applications conclude the course. Students cannot receive credit for this course and MATH 19B, or AM 11B, or AM 15B, or ECON 11B.","Prerequisite(s): MATH 11A or MATH 19A or AM 15A or AP Calculus AB exam score of 4 or 5, or BC exam score of 3 or higher, or IB Mathematics Higher Level exam score of 5 or higher.","Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 02:40PM-03:45PM, Room: ClassroomUnit 002, Instructor: Brody,N.R., Dates: 01/06/25 - 03/14/25","#32324 DIS 01A, M 11:40AM-12:45PM, Jha,A.K., Loc: McHenry Clrm 1240, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32325 DIS 01B, M 01:00PM-02:05PM, Price,A.R., Loc: McHenry Clrm 1240, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32326 DIS 01C, W 11:40AM-12:45PM, Jha,A.K., Loc: McHenry Clrm 1240, Enrl: 34 / 35, Wait: 0 / 0, Open; #32327 DIS 01D, W 01:00PM-02:05PM, Jha,A.K., Loc: McHenry Clrm 1240, Enrl: 34 / 35, Wait: 0 / 0, Open; #45939 DIS 01E, W 05:20PM-06:25PM, Price,A.R., Loc: McHenry Clrm 1240, Enrl: 33 / 35, Wait: 0 / 0, Open"
Mathematics for Life Sciences,2025 Winter Quarter,Undergraduate,Student Option,32532,Lecture,In Person,5 units,MF,Open,47,200,153,0,0,"Introduction to mathematical modeling of systems in biology and the environment. Mathematical topics include functions, sequences, conceptual calculus and differential equations, taught through examples, computation, and visualization. Computational tools include interactive graphing software, spreadsheets, and a high-level programming language (e.g., Python). Modeling systems in the environment, ecology, evolution, cell, and molecular biology. Representing systems in state space, and studying change through derivatives. Analyzing equilibria in one- and two-dimensional systems. (Formerly Mathematics for Life and Environmental Sciences.)",Prerequisite(s): MATH 3 or AM 3 or mathematics placement (MP) score of 300 or higher or AP Calculus AB exam score of 3 or higher.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MW 05:20PM-06:25PM, Room: Kresge Acad 3105, Instructor: Hingtgen,R.L.Weissman,M., Dates: 01/06/25 - 03/14/25","#32765 DIS 01A, TuTh 09:50AM-10:55AM, Hernandez,S.M., Loc: McHenry Clrm 1257, Enrl: 22 / 30, Wait: 0 / 0, Open; #32766 DIS 01B, TuTh 11:10AM-12:15PM, Hernandez,S.M., Loc: McHenry Clrm 1257, Enrl: 29 / 30, Wait: 0 / 0, Open; #32767 DIS 01C, TuTh 12:30PM-01:35PM, Hansen,S.K., Loc: McHenry Clrm 1257, Enrl: 28 / 35, Wait: 0 / 0, Open; #32768 DIS 01D, TuTh 01:50PM-02:55PM, Hansen,S.K., Loc: McHenry Clrm 1257, Enrl: 30 / 30, Wait: 0 / 0, Closed; #32769 DIS 01E, TuTh 03:10PM-04:15PM, Johnson,S.A., Loc: McHenry Clrm 1257, Enrl: 24 / 30, Wait: 0 / 0, Open; #32770 DIS 01F, TuTh 04:30PM-05:35PM, Johnson,S.A., Loc: McHenry Clrm 1257, Enrl: 17 / 30, Wait: 0 / 0, Open; #32771 DIS 01G, TuTh 05:50PM-06:55PM, Staff, Loc: McHenry Clrm 1257, Enrl: 2 / 0, Wait: 0 / 0, Closed"
Mathematics for Life Sciences,2025 Winter Quarter,Undergraduate,Student Option,32531,Lecture,In Person,5 units,MF,Open,32,200,168,0,0,"Mathematical modeling of systems in biology and the environment. Dynamical systems in environmental and life sciences, beginning with a study of oscillation, including trigonometry (sinusoids) and related differential equations. Stochastic systems, including random walks in one and two dimensions, and a study of diffusion. Computational techniques, including vectorization and random number generation, for modeling systems. An introduction to linear algebra, focused on vector geometry in two dimensions, linear transformations, eigenvalues, and eigenvectors. Applications of linear/matrix models and Markov processes to ecology and molecular biology. (Formerly Mathematics for Life and Environmental Sciences.)",Prerequisite(s): MATH 16A.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MW 12:00PM-01:05PM, Room: Earth&Marine B206, Instructor: Weissman,M., Dates: 01/06/25 - 03/14/25","#32772 DIS 01A, TuTh 09:50AM-10:55AM, Immel,J.H., Loc: McHenry Clrm 1240, Enrl: 25 / 35, Wait: 0 / 0, Open; #32773 DIS 01B, TuTh 11:10AM-12:15PM, Ma,B., Loc: McHenry Clrm 1240, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32774 DIS 01C, TuTh 12:30PM-01:35PM, Ma,B., Loc: McHenry Clrm 1240, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32775 DIS 01D, TuTh 01:50PM-02:55PM, Immel,J.H., Loc: McHenry Clrm 1240, Enrl: 33 / 35, Wait: 0 / 0, Open; #32776 DIS 01E, TuTh 03:10PM-04:15PM, Williams,M.J., Loc: McHenry Clrm 1240, Enrl: 24 / 35, Wait: 0 / 0, Open; #32777 DIS 01F, TuTh 04:30PM-05:35PM, Williams,M.J., Loc: McHenry Clrm 1240, Enrl: 16 / 35, Wait: 0 / 0, Open; #32778 DIS 01G, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
